id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
1203,Haitian gourde,Haitian gourdes,HTG,f,"{""factor"": null}",0
1204,Honduran lempira,Honduran lempira,HNL,f,"{""factor"": null}",0
1205,Hong Kong dollar,Hong Kong dollars,HKD,f,"{""factor"": null}",0
1206,Hungarian forint,Hungarian forint,HUF,f,"{""factor"": null}",0
1207,Icelandic króna,Icelandic króna,ISK,f,"{""factor"": null}",0
1208,Indonesian rupiah,Indonesian rupiah,IDR,f,"{""factor"": null}",0
1209,Iranian rial,Iranian rial,IRR,f,"{""factor"": null}",0
1210,Iraqi dinar,Iraqi dinar,IQD,f,"{""factor"": null}",0
1211,Isle of Man pound,Isle of Man pounds,IMP,f,"{""factor"": null}",0
1212,Israeli new shekel,Israeli new shekels,NIS,f,"{""factor"": null}",0
1213,Jamaican dollar,Jamaican dollars,JMD,f,"{""factor"": null}",0
1214,Japanese yen,Japanese yens,JPY,f,"{""factor"": null}",0
1215,Jersey pound,Jersey pounds,JEP,f,"{""factor"": null}",0
1216,Jordanian dinar,Jordanian dinars,JOD,f,"{""factor"": null}",0
1217,Kazakhstani tenge,Kazakhstani tenge,KZT,f,"{""factor"": null}",0
1219,Kuwaiti dinar,Kuwaiti dinars,KWD,f,"{""factor"": null}",0
1220,Kyrgyzstani som,Kyrgyzstani som,KGS,f,"{""factor"": null}",0
1221,Lao kip,Lao kip,LAK,f,"{""factor"": null}",0
1222,Latvian lat,Latvian lats,LVL,f,"{""factor"": null}",0
1223,Lebanese pound,Lebanese pounds,LBP,f,"{""factor"": null}",0
1224,Lesotho loti,Lesotho loti,LSL,f,"{""factor"": null}",0
1225,Liberian dollar,Liberian dollars,LRD,f,"{""factor"": null}",0
1226,Libyan dinar,Libyan dinars,LYD,f,"{""factor"": null}",0
1227,Lithuanian lita,Lithuanian litas,LTL,f,"{""factor"": null}",0
1228,Macanese pataca,Macanese pataca,MOP,f,"{""factor"": null}",0
1229,Macedonian denar,Macedonian denar,MKD,f,"{""factor"": null}",0
1230,Malagasy ariary,Malagasy ariary,MGA,f,"{""factor"": null}",0
1231,Malawian kwacha,Malawian kwachas,MWK,f,"{""factor"": null}",0
1232,Malaysian ringgit,Malaysian ringgit,MYR,f,"{""factor"": null}",0
1233,Maldivian rufiyaa,Maldivian rufiyaa,MVR,f,"{""factor"": null}",0
1234,Mauritanian ouguiya,Mauritanian ouguiya,MRU,f,"{""factor"": null}",0
1235,Mauritian rupee,Mauritian rupees,MUR,f,"{""factor"": null}",0
1236,Moldovan leu,Moldovan leu,MDL,f,"{""factor"": null}",0
1237,Mongolian tögrög,Mongolian tögrög,MNT,f,"{""factor"": null}",0
1238,Moroccan dirham,Moroccan dirham,MAD,f,"{""factor"": null}",0
1239,Mozambique metical,Mozambique meticals,MZN,f,"{""factor"": null}",0
1240,Namibian dollar,Namibian dollars,NAD,f,"{""factor"": null}",0
1241,Nepalese rupee,Nepalese rupees,NPR,f,"{""factor"": null}",0
1242,Netherlands Antillean guilder,Netherlands Antillean guilder,ANG,f,"{""factor"": null}",0
1243,New Taiwan dollar,New Taiwan dollars,TWD,f,"{""factor"": null}",0
1244,New Zealand dollar,New Zealand dollars,NZD,f,"{""factor"": null}",0
1245,Nicaraguan córdoba,Nicaraguan córdobas,NIO,f,"{""factor"": null}",0
1246,Nigerian naira,Nigerian nairas,NGN,f,"{""factor"": null}",0
1247,North Korean won,North Korean won,KPW,f,"{""factor"": null}",0
1248,Norwegian krone,Norwegian krone,NOK,f,"{""factor"": null}",0
1249,Omani rial,Omani rials,OMR,f,"{""factor"": null}",0
1250,Pakistani rupee,Pakistani rupees,PKR,f,"{""factor"": null}",0
1251,Panamanian balboa,Panamanian balboa,PAB,f,"{""factor"": null}",0
1252,Papua New Guinean kina,Papua New Guinean kina,PGK,f,"{""factor"": null}",0
1253,Paraguayan guaraní,Paraguayan guaraní,PYG,f,"{""factor"": null}",0
1254,Peruvian nuevo sol,Peruvian nuevo sol,PEN,f,"{""factor"": null}",0
1255,Philippine peso,Philippine pesos,PHP,f,"{""factor"": null}",0
1256,Polish zloty,Polish zloty,PLN,f,"{""factor"": null}",0
1257,Qatari riyal,Qatari riyal,QAR,f,"{""factor"": null}",0
1258,Romanian leu,Romanian leu,RON,f,"{""factor"": null}",0
1259,Russian ruble,Russian rubles,RUB,f,"{""factor"": null}",0
1260,Rwandan franc,Rwandan francs,RWF,f,"{""factor"": null}",0
1261,Saint Helena pound,Saint Helena pound,SHP,f,"{""factor"": null}",0
1262,Salvadoran colón,Salvadoran colón,SVC,f,"{""factor"": null}",0
1263,Samoan tālā,Samoan tālā,WST,f,"{""factor"": null}",0
1264,Saudi riyal,Saudi riyal,SAR,f,"{""factor"": null}",0
1265,Serbian dinar,Serbian dinar,RSD,f,"{""factor"": null}",0
1266,Seychellois rupee,Seychellois rupee,SCR,f,"{""factor"": null}",0
1267,Sierra Leonean leone,Sierra Leonean leone,SLL,f,"{""factor"": null}",0
1268,Silver ounce,Silver ounce,XAG,f,"{""factor"": null}",0
1269,Singapore dollar,Singapore dollars,SGP,f,"{""factor"": null}",0
1270,Solomon Islands dollar,Solomon Islands dollars,SBD,f,"{""factor"": null}",0
1271,Somali shilling,Somali shillings,SOS,f,"{""factor"": null}",0
1272,South African rand,South African rands,ZAR,f,"{""factor"": null}",0
1273,South Korean won,South Korean won,KRW,f,"{""factor"": null}",0
1274,Special Drawing Right (SDR),Special Drawing Rights (SDR),SDR,f,"{""factor"": null}",0
1275,Sri Lankan rupee,Sri Lankan rupees,LKR,f,"{""factor"": null}",0
1276,Sudanese pound,Sudanese pounds,SDG,f,"{""factor"": null}",0
1277,Surinamese dollar,Surinamese dollars,SRD,f,"{""factor"": null}",0
1278,Swazi lilangeni,Swazi lilangeni,SZL,f,"{""factor"": null}",0
1279,Swedish krona,Swedish krona,SEK,f,"{""factor"": null}",0
1280,Swiss franc,Swiss francs,CHF,f,"{""factor"": null}",0
1281,Syrian pound,Syrian pounds,SYP,f,"{""factor"": null}",0
1282,São Tomé and Príncipe dobra,São Tomé and Príncipe dobra,STN,f,"{""factor"": null}",0
1283,Tajikistani somoni,Tajikistani somoni,TJS,f,"{""factor"": null}",0
1285,Thai baht,Thai baht,THB,f,"{""factor"": null}",0
1286,Tongan paʻanga,Tongan paʻanga,TOP,f,"{""factor"": null}",0
1287,Trinidad and Tobago dollar,Trinidad and Tobago dollar,TTD,f,"{""factor"": null}",0
1288,Tunisian dinar,Tunisian dinars,TND,f,"{""factor"": null}",0
1289,Turkish lira,Turkish lira,TRY,f,"{""factor"": null}",0
1290,Turkmenistan new manat,Turkmenistan new manat,TMT,f,"{""factor"": null}",0
1291,UAE dirham,UAE dirham,AED,f,"{""factor"": null}",0
1292,US dollar,US dollars,USD,f,"{""factor"": null}",0
1294,Uruguayan peso,Uruguayan pesos,UYU,f,"{""factor"": null}",0
1295,Uzbekistan som,Uzbekistan som,UZS,f,"{""factor"": null}",0
1296,Vanuatu vatu,Vanuatu vatu,VUV,f,"{""factor"": null}",0
1297,Venezuelan bolívar,Venezuelan bolívar,VES,f,"{""factor"": null}",0
1298,West African CFA franc,West African CFA francs,XAF,f,"{""factor"": null}",0
1299,Yemeni rial,Yemeni rial,YER,f,"{""factor"": null}",0
1300,Zambian kwacha,Zambian kwachas,ZMW,f,"{""factor"": null}",0
1301,"Zambian kwacha, old","Zambian kwachas, old",ZMK,f,"{""factor"": null}",0
1302,Zimbabwean dollar,Zimbabwean dollars,ZWL,f,"{""factor"": null}",0
1303,Angolan kwanza,Angolan kwanza,AOK,f,"{""factor"": null}",0
1304,Brazilian arroba,Brazilian arroba,@,f,"{""factor"": 15}",0
1305,50 pounds,50 pounds,50-lb,f,"{""factor"": 22.6796}",0
1306,"80,000 kernels","80,000 kernels","80,000 kernels",f,"{""factor"": 1}",0
1307,hive,hives,hive,f,"{""factor"": 1}",0
1308,crate,crates,crate,f,"{""factor"": 1}",0
1309,blackbuck,blackbuck,blackbuck,f,"{""factor"": null}",0
1310,bpaintrubber,bpaintrubber,bpaintrubber,f,"{""factor"": null}",0
1311,cuartilla,cuartilla,cuartilla,f,"{""factor"": null}",0
1312,kokobowl,kokobowl,kokobowl,f,"{""factor"": null}",0
1313,margarinetin,margarinetin,margarinetin,f,"{""factor"": null}",0
1314,marmite,marmite,marmite,f,"{""factor"": null}",0
1315,olonka,olonka,olonka,f,"{""factor"": null}",0
1316,paint bucket,paint bucket,paint bucket,f,"{""factor"": null}",0
1317,tomatin,tomatin,tomatin,f,"{""factor"": null}",0
