id,name,name_plural,abbreviation,base_unit,base_conv_factor,conv_type
964,Djiboutian Franc,Djiboutian Francs,DJF,f,"{""factor"": null}",0
965,Ghanaian Cedi,Ghanaian Cedis,GHS,f,"{""factor"": null}",0
966,Armenian dram,Armenian drams,AMD,f,"{""factor"": null}",0
967,Brazilian real,Brazilian reals,BRL,f,"{""factor"": null}",0
968,Ugandan Shilling,Ugandan Shillings,UGX,f,"{""factor"": null}",0
969,Mauritanian Ouguiya,Mauritanian Ouguiyas,MRO,f,"{""factor"": null}",0
970,Egyptian Pound,Egyptian Pounds,EGP,f,"{""factor"": null}",0
971,Myanmar Kyat,Myanmar Kyats,MMK,f,"{""factor"": null}",0
972,Indian rupee,Indian rupees,INR,f,"{""factor"": null}",0
973,Lesotho Loti,Lesotho Maloti,LSL,f,"{""factor"": null}",0
974,Nicaraguan Córdobas,Nicaraguan Córdobas,NIO,f,"{""factor"": null}",0
975,gram per square meter,grams per square meter,g/m²,f,"{""factor"": 0.001}",0
976,Mexican peso per liter,Mexican pesos per liter,Mex$/l,f,"{""factor"": null}",0
977,liter per hectare,liters per hectare,l/ha,f,"{""factor"": 0.0000001}",0
978,"US cent per bushel (corn, rye, sorghum grain, flaxseed)","US cents per bushel (corn, rye, sorghum grain, flaxseed)",cts/bu,f,"{""factor"": 0.00039368}",0
979,"US cent per bushel (wheat, white potatoes, beans, soybeans, peas)","US cents per bushel (wheat, white potatoes, beans, soybeans, peas)",cts/bu,f,"{""factor"": 0.00036744}",0
980,US cent per bushel (oats),US cents per bushel (oats),cts/bu,f,"{""factor"": 0.00064842}",0
981,US Dollar per 1000 board feet,US Dollars per 1000 board feet,USD/mbf,f,"{""factor"": null}",0
982,Euro per tonne,Euros per tonne,EUR/t,f,"{""factor"": null}",0
983,US cent per hundredweight (US),US cents per hundredweight (US),$/cwt,f,"{""factor"": 0.000220462262}",0
984,Special drawing right,Special drawing rights,SDR,f,"{""factor"": null}",0
985,Special drawing right per tonne,Special drawing rights per tonne,SDR/t,f,"{""factor"": null}",0
986,birth per woman,births per woman,birth/woman,t,"{""factor"": 1}",0
987,number per live birth,number per live birth,number/live birth,t,"{""factor"": 1}",0
988,US Dollar per joule,US Dollars per joule,USD/J,t,"{""factor"": 1}",0
989,gram per kilogram,grams per kilogram,g/kg,f,"{""factor"": 0.001}",0
990,US cent per tonne,US cents per tonne,cts/t,f,"{""factor"": 10}",0
991,lamb per ewe,lambs per ewe,lamb/ewe,t,"{""factor"": 1}",0
992,number per person,number per person,number/person,t,"{""factor"": 1}",0
993,number per square meter,number per square meter,number/m²,t,"{""factor"": 1}",0
994,person per square meter,persons per square meter,person/m²,t,"{""factor"": 1}",0
995,box per square meter,boxes per square meter,box/m²,t,"{""factor"": 1}",0
996,plant per square meter,plants per square meter,plant/m²,t,"{""factor"": 1}",0
997,ear per square meter,ears per square meter,ear/m²,t,"{""factor"": 1}",0
998,unit per square meter,units per square meter,unit/m²,t,"{""factor"": 1}",0
999,cubic meter per kilogram,cubic meters per kilogram,m³/t,t,"{""factor"": 1}",0
1000,square meter per capita,square meters per capita,m²/capita,t,"{""factor"": 1}",0
1001,square meter per unit,square meters per unit,m²/unit,t,"{""factor"": 1}",0
1002,square kilometer per unit,square kilometers per unit,km²/unit,f,"{""factor"": 1000000}",0
1003,pound per dozen,pounds per dozen,lb/doz,f,"{""factor"": 0.03779936416666667}",0
1004,kilogram per unit,kilogram per unit,kg/unit,t,"{""factor"": 1}",0
1005,kilogram per colony,kilograms per colony,kg/colony,t,"{""factor"": 1}",0
1006,US Dollar per square meter,US Dollars per square meter,USD/m²,t,"{""factor"": 1}",0
1007,meter per square meter,meters per square meter,m/m²,t,"{""factor"": 1}",0
1008,cubic meter per square meter,cubic meters per square meter,m³/m²,t,"{""factor"": 1}",0
1009,cubic meter per box,cubic meters per box,m³/box,t,"{""factor"": 1}",0
1010,cubic meter per tap,cubic meters per tap,m³/tap,t,"{""factor"": 1}",0
1011,kilogram*meter,kilogram*meter,kg*m,t,"{""factor"": 1}",0
1012,passenger*meter,passenger*meter,passenger*m,t,"{""factor"": 1}",0
1013,passenger,passengers,passenger,t,"{""factor"": 1}",0
1014,US Dollar per sheet,US Dollars per sheet,USD/sheet,t,"{""factor"": 1}",0
1015,Joule per capita,Joules per capita,J/capita,t,"{""factor"": 1}",0
1016,Joule per cubic meter,Joules per cubic meter,J/m³,t,"{""factor"": 1}",0
1017,hectare per unit,hectares per unit,ha/unit,f,"{""factor"": 10000}",0
1018,square kilometer per capita,square kilometers per capita,km²/capita,f,"{""factor"": 1000000}",0
1019,acre per capita,acres per capita,acre/capita,f,"{""factor"": 4046.856422}",0
1020,Watt,Watts,W,t,"{""factor"": 1}",0
1021,kilogram of oil equivalent,kilograms of oil equivalent,kgoe,f,"{""factor"": 41868000}",0
1022,megawatt,megawatts,mw,f,"{""factor"": 1000000}",0
1023,Chinese Yuan per piece,Chinese Yuan per piece,RMB/unit,f,"{""factor"": null}",0
1024,Algerian Dinar per unit,Algerian Dinars per unit,DZD/unit,f,"{""factor"": null}",0
1025,Austrian Schilling per cuartilla,Austrian Shillings per cuartilla,ATS/cuartilla,f,"{""factor"": null}",0
1026,Austrian Schilling per kilogram,Austrian Shillings per kilogram,ATS/kg,f,"{""factor"": null}",0
1027,Austrian Schilling per unit,Austrian Shillings per unit,ATS/unit,f,"{""factor"": null}",0
1028,Burundian Franc per liter,Burundian Francs per liter,BIF/L,f,"{""factor"": null}",0
1029,Central African CFA Franc per unit,Central African CFA Francs per unit,XAF/unit,f,"{""factor"": null}",0
1030,Gambian Dalasi per unit,Gambian Dalasis per unit,GMD/unit,f,"{""factor"": null}",0
1031,Guatemalan Quetzal per unit,Guatemalan Quetzales per unit,GTQ/unit,f,"{""factor"": null}",0
1032,Iraqi Dinar per cylinder,Iraqi Dinars per cylinder,IQD/cylinder,f,"{""factor"": null}",0
1033,Iraqi Dinar per unit,Iraqi Dinars per unit,IQD/unit,f,"{""factor"": null}",0
1034,Nigerian Naira per kilogram,Nigerian Nairas per kilogram,NGN/kg,f,"{""factor"": null}",0
1035,Nigerian Naira per liter,Nigerian Nairas per liter,NGN/L,f,"{""factor"": null}",0
1036,Nigerian Naira per unit,Nigerian Nairas per unit,NGN/unit,f,"{""factor"": null}",0
1037,Rwandan Franc per sack,Rwandan Francs per sack,RWF/sack,f,"{""factor"": null}",0
1038,Rwandan Franc per unit,Rwandan Francs per unit,RWF/unit,f,"{""factor"": null}",0
1039,Syrian Pound per packet,Syrian Pounds per packet,SYP/packet,f,"{""factor"": null}",0
1040,Syrian Pound per tonne,Syrian Pounds per tonne,SYP/t,f,"{""factor"": null}",0
1041,Syrian Pound per unit,Syrian Pounds per unit,SYP/unit,f,"{""factor"": null}",0
1042,Turkish Lira per kilowatt-hour,Turkish Liras per kilowatt-hour,TRY/kWh,f,"{""factor"": null}",0
1043,Turkish Lira per unit,Turkish Liras per unit,TRY/unit,f,"{""factor"": null}",0
1044,Ugandan Shilling per liter,Ugandan Shillings per liter,UGX/L,f,"{""factor"": null}",0
1045,Colombian Peso per unit,Colombian Pesos per unit,COP/unit,f,"{""factor"": null}",0
1046,Congolese Franc per course,Congolese Francs per course,CDF/course,f,"{""factor"": null}",0
1047,Israeli New Sheqel per cubic meter,Israeli New Sheqels per cubic meter,NIS/m³,f,"{""factor"": null}",0
1048,Syrian Pound per cubic meter,Syrian Pounds per cubic meter,SYP/m³,f,"{""factor"": null}",0
1049,Turkish Lira per course,Turkish Liras per course,TRY/course,f,"{""factor"": null}",0
1050,Turkish Lira per cubic meter,Turkish Liras per cubic meter,TRY/m³,f,"{""factor"": null}",0
1051,Turkish Lira per package,Turkish Liras per package,TRY/package,f,"{""factor"": null}",0
1052,Ukrainian Hryvnia per loaf,Ukrainian Hryvnias per loaf,UAH/loaf,f,"{""factor"": null}",0
